Control No.,PRE:1. Ang COVID-19 ay isang nakakahawang sakit na nagmula sa isang:,PRE:2. Ang COVID-19 ay naipapasa sa pamamagitan ng?,PRE:3. Alin ang mga sintomas para sa mga banayad (mild) na kaso ng COVID-19?,PRE:4. Alin ang mga sintomas para sa mga katamtaman (moderate) na kaso ng COVID-19?,PRE:5. Alin ang mga sintomas para sa mga malala (severe) na kaso ng COVID-19?,PRE:6. Maaari bang magkaiba ang sintomas sa bawat tao?,PRE:7. Sino ang higit na maaaring magkaroon ng malulubhang sintomas?,PRE:8. Ano ang dapat mong gawin kapag may nakasalamuha kang taong positibo sa COVID-19?,PRE:9. Ano ang dapat mong gawin kapag nag positibo ka sa COVID-19?,PRE:10. Kailan ligtas na makisalamuha sa iba kung ikaw ay nagpositibo sa COVID-19 at ikaw ay hindi kompromisado ang iyong immune system o nagkaroon ng malubhang kaso? ,PRE:11. Ang antibiotics ba ay maaaring gamiting gamot para sa COVID-19?,PRE:12. Ang paglanghap ba ng singaw ng mainit na tubig na may asin o pagsusuob ay nakakagamot sa COVID-19?,PRE:13. Ang COVID-19 ba ay nakahahawa lang sa mga lugar na may malalamig na klima?,PRE:14. Ang paghuhugas ng kamay upang maiwasan ang pagkalat ng COVID-19 ay hindi dapat bababa sa:,PRE:15. Ano ang mga dapat tandaan upang maiwasan ang COVID-19?,POST:1. Ang COVID-19 ay isang nakakahawang sakit na nagmula sa isang:,POST:2. Ang COVID-19 ay naipapasa sa pamamagitan ng?,POST:3. Alin ang mga sintomas para sa mga banayad (mild) na kaso ng COVID-19?,POST:4. Alin ang mga sintomas para sa mga katamtaman (moderate) na kaso ng COVID-19?,POST:5. Alin ang mga sintomas para sa mga malala (severe) na kaso ng COVID-19?,POST:6. Maaari bang magkaiba ang sintomas sa bawat tao?,POST:7. Sino ang higit na maaaring magkaroon ng malulubhang sintomas?,POST:8. Ano ang dapat mong gawin kapag may nakasalamuha kang taong positibo sa COVID-19?,POST:9. Ano ang dapat mong gawin kapag nag positibo ka sa COVID-19?,POST:10. Kailan ligtas na makisalamuha sa iba kung ikaw ay nagpositibo sa COVID-19 at ikaw ay hindi kompromisado ang iyong immune system o nagkaroon ng malubhang kaso? ,POST:11. Ang antibiotics ba ay maaaring gamiting gamot para sa COVID-19?,POST:12. Ang paglanghap ba ng singaw ng mainit na tubig na may asin o pagsusuob ay nakakagamot sa COVID-19?,POST:13. Ang COVID-19 ba ay nakahahawa lang sa mga lugar na may malalamig na klima?,POST:14. Ang paghuhugas ng kamay upang maiwasan ang pagkalat ng COVID-19 ay hindi dapat bababa sa:,POST:15. Ano ang mga dapat tandaan upang maiwasan ang COVID-19?
150,Bacteria,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)",Tuyong Ubo,Banayad na Pneumonia (Mild Pneumonia),Posibleng pagkamatay,"Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Mga edad 60 pataas,Sabihan ang mga nakasalamuha mong tao na sila ay nalantad sa COVID-19,"Humingi ng medikal na atensyon kung nakaramdam ng hirap sa paghinga, sakit sa dibdib, o iba pang kabaha-bahalang sintomas.","Makalipas ang 3 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Oo, kaya nitong gamutin ang may sakit nang COVID-19.","Oo, sa mga lugar lang na may malamig na klima ito maaaring makuha.",10 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C",,Mga edad 60 pataas,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
151,Bacteria,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)",Tuyong Ubo,Banayad na Pneumonia (Mild Pneumonia),Posibleng pagkamatay,"Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Mga edad 60 pataas,Sabihan ang mga nakasalamuha mong tao na sila ay nalantad sa COVID-19,"Humingi ng medikal na atensyon kung nakaramdam ng hirap sa paghinga, sakit sa dibdib, o iba pang kabaha-bahalang sintomas.","Makalipas ang 3 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Oo, sa mga lugar lang na may malamig na klima ito maaaring makuha.",10 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C",,Mga edad 60 pataas,Lahat ng nabanggit,,"Makalipas ang 7 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
149,Bacteria,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)",Tuyong Ubo,Banayad na Pneumonia (Mild Pneumonia),Posibleng pagkamatay,"Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Mga edad 60 pataas,Sabihan ang mga nakasalamuha mong tao na sila ay nalantad sa COVID-19,"Humingi ng medikal na atensyon kung nakaramdam ng hirap sa paghinga, sakit sa dibdib, o iba pang kabaha-bahalang sintomas.","Makalipas ang 3 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.",,"Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Oo, sa mga lugar lang na may malamig na klima ito maaaring makuha.",10 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
186,Bacteria,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)",Tuyong Ubo,Banayad na Pneumonia (Mild Pneumonia),Posibleng pagkamatay,"Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Mga edad 60 pataas,Sabihan ang mga nakasalamuha mong tao na sila ay nalantad sa COVID-19,"Humingi ng medikal na atensyon kung nakaramdam ng hirap sa paghinga, sakit sa dibdib, o iba pang kabaha-bahalang sintomas.","Makalipas ang 3 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Oo, kaya nitong gamutin ang may sakit nang COVID-19.","Oo, sa mga lugar lang na may malamig na klima ito maaaring makuha.",10 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
216,Bacteria,Pagpasa mula sa mga insekto tulad ng mga lamok at langaw (vector-borne),"A, B, at C",Hirap sa paghinga,Posibleng pagkamatay,"Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Mga edad 60 pataas,Mag self-quarantine o manatili sa bahay ng 14 na araw matapos ang huling kontak sa nag positibo at subaybayan ang sarili para sa mga sintomas,Ihiwalay ang sarili sa ibang tao at subaybayan ang iyong mga sintomas.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.",,"Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",5 segundo,Siguruhin na may layo na hindi bababa sa anim (6) na talampakan (feet) mula sa ibang tao at umiwas sa lugar na matao.,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
28,Virus,A at B lamang,Lagnat,Banayad na Pneumonia (Mild Pneumonia),Malalang Pneumonia (Severe Pneumonia),"Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Mga edad 60 pataas,Mag self-quarantine o manatili sa bahay ng 14 na araw matapos ang huling kontak sa nag positibo at subaybayan ang sarili para sa mga sintomas,Ihiwalay ang sarili sa ibang tao at subaybayan ang iyong mga sintomas.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
43,Virus,A at B lamang,,,,,,,Lahat ng nabanggit.,,,,,,,,,,,,,,,,,,,,,
45,Virus,A at B lamang,Lagnat,"A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Humingi ng medikal na atensyon at makipag-ugnayan sa doctor.,Lahat ng nabanggit.,"Makalipas ang 5 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Oo, kaya nitong gamutin ang may sakit nang COVID-19.","Hindi, kumakalat ito sa kahit anong uri ng klima.",10 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.,Virus,,,,,,,,,,,,,,
44,Virus,A at B lamang,"A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Mag self-quarantine o manatili sa bahay ng 14 na araw matapos ang huling kontak sa nag positibo at subaybayan ang sarili para sa mga sintomas,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Oo, kaya nitong gamutin ang may sakit nang COVID-19.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang,Virus,A at B lamang,"A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Mag self-quarantine o manatili sa bahay ng 14 na araw matapos ang huling kontak sa nag positibo at subaybayan ang sarili para sa mga sintomas,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang
34,Virus,A at B lamang,"A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 5 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",10 segundo,B at C lamang,Virus,A at B lamang,"A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,,,,,,,,
33,Virus,A at B lamang,"A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang,Virus,A at B lamang,"A, B, at C","A, B, at C","A, B, at C",,Mga edad 60 pataas,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang
50,Virus,A at B lamang,,"A, B, at C","A, B, at C",,Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Oo, kaya nitong gamutin ang may sakit nang COVID-19.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.,Virus,A at B lamang,"A, B, at C","A, B, at C","A, B, at C","Hindi, parehas ang bilang ng sintomas na nararanasan ng lahat.",Mga edad 60 pataas,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Oo, kaya nitong gamutin ang may sakit nang COVID-19.","Oo, sa mga lugar lang na may malamig na klima ito maaaring makuha.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
49,Virus,A at B lamang,"A, B, at C","A, B, at C","A, B, at C","Hindi, parehas ang bilang ng sintomas na nararanasan ng lahat.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Oo, kaya nitong gamutin ang may sakit nang COVID-19.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.,Virus,A at B lamang,"A, B, at C","A, B, at C","A, B, at C","Hindi, parehas ang bilang ng sintomas na nararanasan ng lahat.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Oo, dahil mapipigilan nito ang sakit.","Oo, kaya nitong gamutin ang may sakit nang COVID-19.",,20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
35,Virus,A at B lamang,"A, B, at C",Banayad na Pneumonia (Mild Pneumonia),Malalang Pneumonia (Severe Pneumonia),"Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Oo, kaya nitong gamutin ang may sakit nang COVID-19.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang,Virus,A at B lamang,"A, B, at C",Banayad na Pneumonia (Mild Pneumonia),Malalang Pneumonia (Severe Pneumonia),"Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Mga may kaso ng kahirapan sa paghinga.,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Oo, kaya nitong gamutin ang may sakit nang COVID-19.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang
46,Virus,A at B lamang,"A, B, at C","A, B, at C","A, B, at C",,Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang,,,,,,,,,,,,,,,
51,Virus,A at B lamang,"A, B, at C","A, B, at C","A, B, at C","Hindi, parehas ang bilang ng sintomas na nararanasan ng lahat.",Mga edad 60 pataas,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang,Virus,A at B lamang,"A, B, at C","A, B, at C","A, B, at C","Hindi, parehas ang bilang ng sintomas na nararanasan ng lahat.",Mga edad 60 pataas,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang
52,Virus,A at B lamang,"A, B, at C",Kakapusan ng hininga,Organ Failure,"Hindi, parehas ang bilang ng sintomas na nararanasan ng lahat.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Oo, dahil mapipigilan nito ang sakit.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang,Virus,A at B lamang,"A, B, at C","A, B, at C","A, B, at C","Hindi, parehas ang bilang ng sintomas na nararanasan ng lahat.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang
38,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)",Tuyong Ubo,Hirap sa paghinga,Malalang Pneumonia (Severe Pneumonia),,Lahat ng nabanggit,Mag self-quarantine o manatili sa bahay ng 14 na araw matapos ang huling kontak sa nag positibo at subaybayan ang sarili para sa mga sintomas,"Humingi ng medikal na atensyon kung nakaramdam ng hirap sa paghinga, sakit sa dibdib, o iba pang kabaha-bahalang sintomas.","Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Oo, kaya nitong gamutin ang may sakit nang COVID-19.","Hindi, kumakalat ito sa kahit anong uri ng klima.",5 segundo,B at C lamang,Virus,A at B lamang,"A, B, at C","A, B, at C","A, B, at C","Hindi, parehas ang bilang ng sintomas na nararanasan ng lahat.",Lahat ng nabanggit,Mag self-quarantine o manatili sa bahay ng 14 na araw matapos ang huling kontak sa nag positibo at subaybayan ang sarili para sa mga sintomas,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang
39,Virus,A at B lamang,"A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang,Virus,A at B lamang,"A, B, at C","A, B, at C",Malalang Pneumonia (Severe Pneumonia),"Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang
